Provinsi,Luas Panen Tanaman Padi (ha) (Ha),Produktivitas Tanaman Padi (ku/ha) (Ku/ha),Rekap Produksi Padi (ton) (Ton)
Aceh,271750.16,55.55,1509456.46
Sumatera Utara,411462.1,50.76,2088583.81
Sumatera Barat,271883.11,50.52,1373532.19
Riau,51054.04,41.83,213557.23
Jambi,60539.59,45.88,277743.83
Sumatera Selatan,513378.2,54.06,2775069.26
Bengkulu,57151.84,49.27,281610.09
Lampung,518256.06,51.87,2688159.74
Kepulauan Bangka Belitung,15107.8,40.66,61425.07
Kepulauan Riau,179.48,28.24,506.91
DKI Jakarta,477.25,48.98,2337.77
Jawa Barat,1662403.96,56.75,9433723.09
Jawa Tengah,1688669.65,55.41,9356445.49
DI Yogyakarta,110927.24,50.64,561699.53
Jawa Timur,1693210.7,56.26,9526515.67
Banten,337240.74,53.04,1788582.6
Bali,112320.62,60.59,680601.6
Nusa Tenggara Barat,270092.88,53.79,1452945.47
Nusa Tenggara Timur,183091.99,41.29,756049.91
Kalimantan Barat,241478.6,30.28,731225.8
Kalimantan Tengah,108226.75,31.78,343918.75
Kalimantan Selatan,214908.91,38.13,819419.2
Kalimantan Timur,64970.01,36.85,239425.34
Kalimantan Utara,8604.19,35.49,30533.59
Sulawesi Utara,58195.56,41.88,243730.28
Sulawesi Tengah,168993.18,44.05,744408.7
Sulawesi Selatan,1038084.29,51.64,5360169.37
Sulawesi Tenggara,118258.79,40.5,478958.03
Gorontalo,46823.47,51.29,240134.53
Sulawesi Barat,69323.95,50.99,353513.29
Maluku,23987.82,38.6,92601.06
Maluku Utara,6416.45,38.16,24486.03
Papua Barat,5460.59,43.89,23963.92
Papua Barat Daya,,,
Papua,49741.91,38.99,193943.47
Papua Selatan,,,
Papua Tengah,,,
Papua Pegunungan,,,
Indonesia,10452671.88,52.38,54748977.08
,,,
Catatan,,,
<sup>1</sup> Kualitas produksi gabah kering giling (GKG)/<i>The production form is dry unhusked paddy</i><sup>2</sup> Data masih bergabung dengan Provinsi Papua Barat/<i>The data were included in Papua Barat Province</i><sup>3</sup> Data masih bergabung dengan Provinsi Papua/<i>The data were included in Papua Province</i>,,,
