Provinsi,Pasar Tradisional,Pusat Perbelanjaan,Toko Swalayan,Jumlah
ACEH,478,7,12,497
SUMATERA UTARA,858,23,18,899
SUMATERA BARAT,491,12,30,533
RIAU,690,17,36,743
JAMBI,378,8,21,407
SUMATERA SELATAN,833,13,17,863
BENGKULU,225,3,14,242
LAMPUNG,639,11,37,687
KEP. BANGKA BELITUNG,78,4,30,112
KEP. RIAU,70,15,55,140
DKI JAKARTA,213,88,17,318
JAWA BARAT,817,121,173,1111
JAWA TENGAH,1910,56,193,2159
DI YOGYAKARTA,357,14,87,458
JAWA TIMUR,2249,79,119,2447
BANTEN,213,37,30,280
BALI,415,21,24,460
NUSA TENGGARA BARAT,228,5,27,260
NUSA TENGGARA TIMUR,528,4,37,569
KALIMANTAN BARAT,219,8,35,262
KALIMANTAN TENGAH,494,4,19,517
KALIMANTAN SELATAN,468,5,9,482
KALIMANTAN TIMUR,246,20,80,346
KALIMANTAN UTARA,69,5,6,80
SULAWESI UTARA,150,13,24,187
SULAWESI TENGAH,429,6,13,448
SULAWESI SELATAN,768,20,23,811
SULAWESI TENGGARA,421,5,20,446
GORONTALO,129,5,11,145
SULAWESI BARAT,184,1,11,196
MALUKU,90,5,26,121
MALUKU UTARA,106,3,9,118
PAPUA BARAT,73,3,2,78
PAPUA BARAT DAYA,-,-,-,-
PAPUA,141,9,14,164
PAPUA SELATAN,-,-,-,-
PAPUA TENGAH,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-
INDONESIA,15657,650,1279,17586
