Provinsi,2020,IKP 2020,2021,IKP 2021,2022,IKP 2022,2023,IKP 2023,2024,IKP 2024
Aceh,63950.8,Tahan,57835.8,Tahan,72241.64,Tahan,66363.62,Tahan,52249.4,Tahan
Sumatera Utara,783126.62,Tahan,956938.9,Tahan,1307477.02,Tahan,1343290.59,Sangat Tahan,1373900,Sangat Tahan
Sumatera Barat,425025.38,Sangat Tahan,437814.3,Sangat Tahan,569450.41,Sangat Tahan,495223.45,Sangat Tahan,518315.8,Sangat Tahan
Riau,472.78,Agak Tahan,989.61,Tahan,752.62,Tahan,688.71,Tahan,1139.41,Tahan
Jambi,7604.47,Tahan,9719.01,Tahan,10477.45,Tahan,4724.77,Tahan,10530.87,Sangat Tahan
Sumatera Selatan,211735.52,Tahan,316505.6,Tahan,460321.16,Tahan,284643.31,Tahan,338998.6,Tahan
Bengkulu,23415.58,Tahan,36934.89,Tahan,71755.99,Tahan,50421.07,Tahan,62876.83,Tahan
Lampung,971957.39,Sangat Tahan,1129112,Sangat Tahan,1443095.58,Sangat Tahan,1103640.11,Sangat Tahan,1107739,Sangat Tahan
Kepulauan Bangka Belitung,126.66,Tahan,348.85,Tahan,257.95,Tahan,111.3,Tahan,0,Tahan
Kepulauan Riau,15.22,Agak Tahan,12.84,Agak Tahan,12.59,Agak Tahan,10.45,Agak Tahan,12,Tahan
DKI Jakarta,0,Sangat Tahan,0,Sangat Tahan,0,Sangat Tahan,0,Sangat Tahan,0,Sangat Tahan
Jawa Barat,418401.74,Sangat Tahan,491527.7,Sangat Tahan,727067.64,Sangat Tahan,577185.49,Sangat Tahan,564290.8,Sangat Tahan
Jawa Tengah,2279146.32,Sangat Tahan,2128959,Sangat Tahan,2424371.35,Sangat Tahan,2174484.3,Sangat Tahan,2426509,Sangat Tahan
DI Yogyakarta,169430.71,Sangat Tahan,197154.6,Sangat Tahan,218046.4,Sangat Tahan,217545.73,Sangat Tahan,189378.3,Sangat Tahan
Jawa Timur,4134908.41,Sangat Tahan,3991492,Sangat Tahan,4952602.76,Sangat Tahan,4795780.82,Sangat Tahan,4595792,Sangat Tahan
Banten,20349.88,Tahan,9393.64,Tahan,9602.73,Tahan,14367.12,Sangat Tahan,12677.14,Sangat Tahan
Bali,34994.61,Sangat Tahan,50117.54,Sangat Tahan,53206.31,Sangat Tahan,46901.81,Sangat Tahan,39055.43,Sangat Tahan
Nusa Tenggara Barat,860494.72,Sangat Tahan,1019225,Sangat Tahan,1421921.9,Sangat Tahan,1281035.02,Sangat Tahan,1209784,Sangat Tahan
Nusa Tenggara Timur,255452.99,Tahan,285344.6,Tahan,293719.22,Tahan,261854.94,Tahan,293052.3,Tahan
Kalimantan Barat,20284.05,Tahan,44252.44,Tahan,71717.47,Tahan,66248.12,Tahan,90419.41,Tahan
Kalimantan Tengah,30998.17,Tahan,35440.16,Tahan,35933.96,Tahan,25482.89,Tahan,44638.26,Tahan
Kalimantan Selatan,152796.9,Sangat Tahan,135325.9,Sangat Tahan,152255.06,Sangat Tahan,112150.44,Sangat Tahan,109438.4,Sangat Tahan
Kalimantan Timur,10584.65,Sangat Tahan,14554.97,Sangat Tahan,17045.44,Sangat Tahan,11228.48,Sangat Tahan,3955.26,Sangat Tahan
Kalimantan Utara,1169.07,Tahan,385.1,Tahan,859.57,Tahan,856.42,Sangat Tahan,1058.24,Sangat Tahan
Sulawesi Utara,174417.59,Sangat Tahan,166579.9,Sangat Tahan,119008.39,Tahan,83046.33,Sangat Tahan,112771.9,Sangat Tahan
Sulawesi Tengah,65595.66,Sangat Tahan,63514.84,Sangat Tahan,96199.79,Sangat Tahan,72981.58,Sangat Tahan,84798.45,Sangat Tahan
Sulawesi Selatan,1086933.12,Sangat Tahan,1033341,Sangat Tahan,1152062.7,Sangat Tahan,1025516.26,Sangat Tahan,1131504,Sangat Tahan
Sulawesi Tenggara,98972.12,Sangat Tahan,78350.27,Sangat Tahan,78163.06,Sangat Tahan,69512.45,Sangat Tahan,79444.29,Sangat Tahan
Gorontalo,580370.29,Sangat Tahan,669890.4,Sangat Tahan,692439.15,Sangat Tahan,527923.15,Sangat Tahan,625972.1,Sangat Tahan
Sulawesi Barat,11239.6,Sangat Tahan,7966.76,Sangat Tahan,30186.61,Tahan,29097.91,Tahan,30295.93,Tahan
Maluku,14934.68,Agak Tahan,14691.93,Agak Tahan,15687,Agak Tahan,7663.29,Agak Tahan,7582.6,Agak Tahan
Maluku Utara,3816.09,Agak Tahan,10328.93,Agak Tahan,7712.31,Agak Tahan,6870.64,Agak Tahan,4530.02,Agak Tahan
Papua Barat,5098.77,Agak Rentan,4753.17,Rentan,6481.32,Rentan,3311.21,Rentan,3720.1,Agak Rentan
Papua,11120.24,Sangat Rentan,16119.68,Sangat Rentan,15140.06,Rentan,3428.88,Rentan,3913.44,Rentan
