TAHUN,PROVINSI,IKP,Kerentanan Area,P0,KPM,RLS,RTL,Wirausaha,Usaha Kecil,Usaha Besar,Karyawan/Formal,Lepas Pertanian,Lepas Non-Pertanian,Pekerja Keluarga,1,2-3,4-5,≥6,Pengeluaran Pangan,Pengeluaran Nonpangan
2019,ACEH,"66,22",Tahan,"15,17",370269,"9,59","23,64",478936,328089,90070,866707,102460,90706,262730,"7,29","32,58","44,61","15,52",559299.71,434133.62
2019,SUMATERA UTARA,"69,81",Tahan,"8,73",670670,"9,71","25,14",1324786,952454,220684,2775418,265048,211467,931367,"7,11","32,9","40,59","19,4",576322.72,487640.83
2019,SUMATERA BARAT,"75,43",Sangat Tahan,"6,36",242513,"9,22","30,75",515915,426073,102061,816906,162527,118277,318795,"7,72","34,24","41,36","16,68",609257.91,555620.61
2019,RIAU,"62,37",Agak Tahan,"6,99",209065,"9,35","18,21",673672,292104,141314,1300509,203137,89349,295994,"5,08","34,36","45,88","14,67",621747.61,611497.75
2019,JAMBI,"68,23",Tahan,"7,56",155559,"8,86","22,35",390551,211667,69260,666820,99098,41845,212541,"5,38","40,93","44,54","9,16",560541.56,508445.18
2019,SUMATERA SELATAN,"69,3",Tahan,"12,64",461273,"8,60","24,4",884580,646326,113836,1451333,115223,108936,648265,"5,48","36,74","46,46","11,32",498928.81,459889.81
2019,BENGKULU,"61,78",Agak Tahan,"15,07",124588,"9,08","21,92",183968,190236,41849,308294,52535,47770,156443,"6,96","38,13","44,86","10,05",542423.16,553926.65
2019,LAMPUNG,"71,36",Tahan,"12,46",638414,"8,36","26,03",835022,823383,123283,1162607,203101,255125,675409,"5,13","41,48",44,"9,4",484799.98,444224.22
2019,KEP. BANGKA BELITUNG,"56,03",Agak Rentan,"4,56",43750,"8,35","21,98",163825,63835,42252,343011,23050,23100,56854,"7,09","39,84","43,43","9,63",751640.76,758333.41
2019,KEP. RIAU,"59,26",Agak Tahan,"5,85",51566,"10,13","13,34",189051,45295,39759,607911,4094,20010,29562,"7,72","37,8","43,56","10,92",789056.86,989093.36
2019,DKI JAKARTA,"66,87",Tahan,"3,45",183261,"11,11","21,81",1044721,215315,183231,3127705,338,98720,166947,"12,03","38,55","40,27","9,15",877448.69,1278663.58
