Provinsi,Perubahan hutan 2017-2021 (ribu ha),Luas hutan 2021 (ribu ha),Luas hutan 2017 (ribu ha)
Aceh,132.93,2910.63,3043.55
Bali,12.28,270.75,283.03
Banten,16.34,305.31,321.65
Bengkulu,53.74,774.39,828.13
DI Yogyakarta,1.88,25.16,27.03
DKI Jakarta,0,0.29,0.29
Gorontalo,33.49,696.64,730.14
Jambi,213.58,946.97,1160.55
Jawa Barat,56.67,879.81,936.48
Jawa Tengah,44.46,602.21,646.67
Jawa Timur,33.96,864.74,898.71
Kalimantan Barat,1078.09,3878.73,4956.82
Kalimantan Selatan,346.33,1073.98,1420.32
Kalimantan Tengah,984.53,7246.75,8231.28
Kalimantan Timur,1106.35,6692.91,7799.26
Kalimantan Utara,246.18,5803,6049.19
Kepulauan Bangka Belitung,71.1,224.29,295.39
Kepulauan Riau,0.11,308.22,308.33
Lampung,89.14,330.43,419.56
Maluku,121.34,3540.94,3662.27
Maluku Utara,237.23,2355.92,2593.15
Nusa Tenggara Barat,35.4,837.13,872.52
Nusa Tenggara Timur,41.06,1276.83,1317.9
Papua,2181.22,20739.35,22920.57
Papua Barat,383.78,8702.95,9086.74
Riau,207.35,1614.62,1821.97
Sulawesi Barat,119.75,932.95,1052.69
Sulawesi Selatan,241.84,1639.88,1881.72
Sulawesi Tengah,460.88,3803.48,4264.36
Sulawesi Tenggara,213.35,1949.57,2162.92
Sulawesi Utara,92.35,850.26,942.61
Sumatera Barat,227.44,1890.63,2118.07
Sumatera Selatan,362.89,1035.81,1398.69
Sumatera Utara,199.02,1767.82,1966.84
Total,9646.04,86773.35,96419.38
